,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
5353,14,5 weeks on the list,HARDCORE TWENTY-FOUR,Janet Evanovich,Putnam,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",2017-12-31,Janet Evanovich,,HARDCORE TWENTY-FOUR,"Hardcore Twenty-Four (Stephanie Plum, #24)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.83,48192.0,2017,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
5354,15,6 weeks on the list,TWO KINDS OF TRUTH,Michael Connelly,"Little, Brown","While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.",2017-12-31,Michael Connelly,,TWO KINDS OF TRUTH,"Two Kinds of Truth (Harry Bosch, #20; Harry Bosch Universe, #30)",https://www.goodreads.com/author/show/12470.Michael_Connelly?from_search=true&from_srp=true,4.28,62228.0,2017,"Philadelphia, Pennsylvania, The United States","Philadelphia, Pennsylvania, The United States",Point,"[-75.1652215, 39.9525839]"
5355,1,12 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-01-07,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5356,2,9 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-01-07,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5357,3,12 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-01-07,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5358,4,5 weeks on the list,THE PEOPLE VS. ALEX CROSS,James Patterson,"Little, Brown",Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,2018-01-07,James Patterson,,THE PEOPLE VS. ALEX CROSS,"The People vs. Alex Cross (Alex Cross, #25)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.23,23130.0,2018,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
5359,5,45 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-01-07,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5360,6,4 weeks on the list,DARKER,E.L. James,Vintage,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,2018-01-07,E.L. James,,DARKER,"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,883944.0,2018,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5361,7,7 weeks on the list,THE MIDNIGHT LINE,Lee Child,Delacorte,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,2018-01-07,Lee Child,,THE MIDNIGHT LINE,"The Midnight Line (Jack Reacher, #22)",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,4.09,77785.0,2018,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
5362,8,6 weeks on the list,ARTEMIS,Andy Weir,Crown,A small-time smuggler living in a lunar colony schemes to pay off an old debt by pulling off a challenging heist.,2018-01-07,Andy Weir,,ARTEMIS,Artemis,https://www.goodreads.com/author/show/6540057.Andy_Weir?from_search=true&from_srp=true,3.69,260336.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5363,9,3 weeks on the list,YEAR ONE,Nora Roberts,St. Martin's,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",2018-01-07,Nora Roberts,,YEAR ONE,"Year One (Chronicles of The One, #1)",https://www.goodreads.com/author/show/625.Nora_Roberts?from_search=true&from_srp=true,4.05,86042.0,2018,"Silver Spring, Maryland, The United States","Silver Spring, Maryland, The United States",Point,"[-77.026088, 38.99066570000001]"
5364,10,6 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-01-07,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5365,11,9 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-01-07,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5366,12,6 weeks on the list,END GAME,David Baldacci,Grand Central,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,2018-01-07,David Baldacci,,END GAME,"End Game (Will Robie, #5)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.18,46302.0,2018,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
5367,13,4 weeks on the list,TOM CLANCY POWER AND EMPIRE,Marc Cameron,Putnam,President Jack Ryan seeks to identify the hidden forces escalating the tensions between China and the United States.,2018-01-07,Marc Cameron,,TOM CLANCY POWER AND EMPIRE,Tom Clancy's Power and Empire: INSPIRATION FOR THE THRILLING AMAZON PRIME SERIES JACK RYAN,https://www.goodreads.com/author/show/5261819.Marc_Cameron?from_search=true&from_srp=true,4.11,8282.0,2018,,,,
5368,14,5 weeks on the list,SLEEPING BEAUTIES,Stephen King and Owen King,Scribner,Women who fall asleep become shrouded in mysterious cocoons while the men battle one another.,2018-01-07,Stephen King,Owen King,SLEEPING BEAUTIES,Sleeping Beauties,https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,3.73,82239.0,2018,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
5369,15,6 weeks on the list,HARDCORE TWENTY-FOUR,Janet Evanovich,Putnam,"When a homeless man is murdered, the bounty hunter Stephanie Plum searches for the killer.",2018-01-07,Janet Evanovich,,HARDCORE TWENTY-FOUR,"Hardcore Twenty-Four (Stephanie Plum, #24)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.83,48192.0,2018,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
5370,1,6 weeks on the list,THE PEOPLE VS. ALEX CROSS,James Patterson,"Little, Brown",Detective Cross takes on a case even though he has been suspended from the department and taken to federal court to stand trial on murder charges.,2018-01-14,James Patterson,,THE PEOPLE VS. ALEX CROSS,"The People vs. Alex Cross (Alex Cross, #25)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.23,23130.0,2018,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
5371,2,7 weeks on the list,TWO KINDS OF TRUTH,Michael Connelly,"Little, Brown","While he investigates the murder of two pharmacists, an old case comes back to haunt Harry Bosch.",2018-01-14,Michael Connelly,,TWO KINDS OF TRUTH,"Two Kinds of Truth (Harry Bosch, #20; Harry Bosch Universe, #30)",https://www.goodreads.com/author/show/12470.Michael_Connelly?from_search=true&from_srp=true,4.28,62228.0,2018,"Philadelphia, Pennsylvania, The United States","Philadelphia, Pennsylvania, The United States",Point,"[-75.1652215, 39.9525839]"
5372,3,13 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-01-14,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5373,4,New this week,THE WANTED,Robert Crais,Putnam,A single mother hires Elvis Cole to investigate her teenage son who is on the run after a deadly crime spree.,2018-01-14,Robert Crais,,,,,,,2018,,,,
5374,5,New this week,TWISTED,Helen Hardt,Waterhouse,The eighth book in the Steel Brothers Saga series.,2018-01-14,Helen Hardt,,,,,,,2018,,,,
5375,6,5 weeks on the list,DARKER,E.L. James,Vintage,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,2018-01-14,E.L. James,,DARKER,"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,883944.0,2018,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5376,7,10 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-01-14,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5377,8,13 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-01-14,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5378,9,New this week,THE ALICE NETWORK,Kate Quinn,Morrow,A pregnant American college student and a French spy join together on a mission in London in 1947.,2018-01-14,Kate Quinn,,THE ALICE NETWORK,The Alice Network,https://www.goodreads.com/author/show/2974095.Kate_Quinn?from_search=true&from_srp=true,4.32,461682.0,2018,"Long Beach, CA, The United States","Long Beach, CA, The United States",Point,"[-118.1937395, 33.7700504]"
5379,10,46 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-01-14,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5380,11,8 weeks on the list,THE MIDNIGHT LINE,Lee Child,Delacorte,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,2018-01-14,Lee Child,,THE MIDNIGHT LINE,"The Midnight Line (Jack Reacher, #22)",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,4.09,77785.0,2018,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
5381,12,10 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-01-14,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5382,13,7 weeks on the list,END GAME,David Baldacci,Grand Central,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,2018-01-14,David Baldacci,,END GAME,"End Game (Will Robie, #5)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.18,46302.0,2018,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
5383,14,4 weeks on the list,YEAR ONE,Nora Roberts,St. Martin's,"When a pandemic strikes and the world spins into chaos, several travelers head west to find a new life.",2018-01-14,Nora Roberts,,YEAR ONE,"Year One (Chronicles of The One, #1)",https://www.goodreads.com/author/show/625.Nora_Roberts?from_search=true&from_srp=true,4.05,86042.0,2018,"Silver Spring, Maryland, The United States","Silver Spring, Maryland, The United States",Point,"[-77.026088, 38.99066570000001]"
5384,15,2 weeks on the list,THE GOOD DAUGHTER,Karin Slaughter,Morrow,The lawyer Charlotte Quinn is challenged when violence returns to her hometown of Pikesville.,2018-01-14,Karin Slaughter,,THE GOOD DAUGHTER,"The Good Daughter (Good Daughter, #1)",https://www.goodreads.com/author/show/12504.Karin_Slaughter?from_search=true&from_srp=true,4.13,170006.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5385,1,New this week,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-01-21,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5386,2,8 weeks on the list,END GAME,David Baldacci,Grand Central,Jessica Reel and Will Robie fight a dangerous adversary in Colorado.,2018-01-21,David Baldacci,,END GAME,"End Game (Will Robie, #5)",https://www.goodreads.com/author/show/9291.David_Baldacci?from_search=true&from_srp=true,4.18,46302.0,2018,"Richmond, Virginia, The United States","Richmond, Virginia, The United States",Point,"[-77.4360481, 37.5407246]"
5387,3,14 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-01-21,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5388,4,New this week,UNBOUND,Stuart Woods,Putnam,The 44th book in the Stone Barrington series.,2018-01-21,Stuart Woods,,,,,,,2018,,,,
5389,5,New this week,ROBICHEAUX,James Lee Burke,Simon & Schuster,A bereaved detective confronts his past and works to clear his name when he becomes a suspect during an investigation into the murder of the man who killed his wife.,2018-01-21,James Lee Burke,,ROBICHEAUX,"The Neon Rain (Dave Robicheaux, #1)",https://www.goodreads.com/author/show/7031.James_Lee_Burke?from_search=true&from_srp=true,3.92,25654.0,2018,"Houston, Texas, The United States","Houston, Texas, The United States",Point,"[-95.3698028, 29.7604267]"
5390,6,11 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-01-21,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5391,7,14 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-01-21,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5392,8,11 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-01-21,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5393,9,47 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-01-21,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5394,10,6 weeks on the list,DARKER,E.L. James,Vintage,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,2018-01-21,E.L. James,,DARKER,"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,883944.0,2018,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5395,11,New this week,PROMISE NOT TO TELL,Jayne Ann Krentz,Berkley,"A Seattle gallery owner and a private investigator, both of whom spent time in a cult during childhood, team up when an artist takes her own life.",2018-01-21,Jayne Ann Krentz,,PROMISE NOT TO TELL,"Promise Not to Tell (Cutler, Sutter & Salinas, #2)",https://www.goodreads.com/author/show/2387.Jayne_Ann_Krentz?from_search=true&from_srp=true,4.09,8181.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5396,12,7 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-01-21,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5397,13,New this week,"SING, UNBURIED, SING",Jesmyn Ward,Scribner,"A 13-year-old boy comes of age in Mississippi while his black mother takes him and his toddler sister to pick up their white father, who is getting released from the state penitentiary.",2018-01-21,Jesmyn Ward,,"SING, UNBURIED, SING","Sing, Unburied, Sing",https://www.goodreads.com/author/show/1676417.Jesmyn_Ward?from_search=true&from_srp=true,4.01,132001.0,2018,,,,
5398,14,9 weeks on the list,THE MIDNIGHT LINE,Lee Child,Delacorte,Jack Reacher tracks down the owner of a pawned West Point class ring and stumbles upon a large criminal enterprise.,2018-01-21,Lee Child,,THE MIDNIGHT LINE,"The Midnight Line (Jack Reacher, #22)",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,4.09,77785.0,2018,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
5399,15,15 weeks on the list,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,2018-01-21,Lisa Wingate,,BEFORE WE WERE YOURS,Before We Were Yours,https://www.goodreads.com/author/show/178832.Lisa_Wingate?from_search=true&from_srp=true,4.4,577881.0,2018,,,,
5400,1,2 weeks on the list,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-01-28,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5401,2,New this week,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,"The events surrounding a hedge fund manager, his ex-wife and his fiancée are told from several points of view.",2018-01-28,Greer Hendricks,Sarah Pekkanen,THE WIFE BETWEEN US,The Wife Between Us,https://www.goodreads.com/author/show/16935182.Greer_Hendricks?from_search=true&from_srp=true,3.85,373194.0,2018,,,,
5402,3,New this week,BLOOD FURY,J.R. Ward,Ballantine,The third book in the Black Dagger Legacy series.,2018-01-28,J.R. Ward,,BLOOD FURY,"Blood Fury (Black Dagger Legacy, #3)",https://www.goodreads.com/author/show/20248.J_R_Ward?from_search=true&from_srp=true,4.39,17507.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5403,4,12 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-01-28,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5404,5,15 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-01-28,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5405,6,12 weeks on the list,THE ROOSTER BAR,John Grisham,Doubleday,Three students at a sleazy for-profit law school hope to expose the student-loan banker who runs it.,2018-01-28,John Grisham,,THE ROOSTER BAR,The Rooster Bar,https://www.goodreads.com/author/show/721.John_Grisham?from_search=true&from_srp=true,3.65,89698.0,2018,"Jonesboro, Arkansas, The United States","Jonesboro, Arkansas, The United States",Point,"[-90.7051346, 35.835696]"
5406,7,15 weeks on the list,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,"A new collection of poetry from the author of ""Milk and Honey.""",2018-01-28,Rupi Kaur,,THE SUN AND HER FLOWERS,the sun and her flowers,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,4.1,328194.0,2018,,,,
5407,8,5 weeks on the list,NO MIDDLE NAME,Lee Child,Delacorte,A complete collection of Jack Reacher stories.,2018-01-28,Lee Child,,NO MIDDLE NAME,"No Middle Name: Jack Reacher, The Complete Collected Short Stories",https://www.goodreads.com/author/show/5091.Lee_Child?from_search=true&from_srp=true,3.95,21726.0,2018,The United Kingdom,The United Kingdom,Point,"[-3.435973, 55.378051]"
5408,9,16 weeks on the list,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,2018-01-28,Lisa Wingate,,BEFORE WE WERE YOURS,Before We Were Yours,https://www.goodreads.com/author/show/178832.Lisa_Wingate?from_search=true&from_srp=true,4.4,577881.0,2018,,,,
5409,10,48 weeks on the list,MILK AND HONEY,Rupi Kaur,Andrews McMeel,Poetic approaches to surviving adversity and loss.,2018-01-28,Rupi Kaur,,MILK AND HONEY,milk and honey,https://www.goodreads.com/author/show/8075577.Rupi_Kaur?from_search=true&from_srp=true,3.99,690672.0,2018,,,,
5410,11,8 weeks on the list,READY PLAYER ONE,Ernest Cline,Broadway,"It’s 2044, life on a resource-depleted Earth has grown increasingly grim, and the key to a vast fortune is hidden in a virtual-reality world.",2018-01-28,Ernest Cline,,READY PLAYER ONE,"Ready Player One (Ready Player One, #1)",https://www.goodreads.com/author/show/31712.Ernest_Cline?from_search=true&from_srp=true,4.23,1131644.0,2018,"Ashland, Ohio, The United States","Ashland, Ohio, The United States",Point,"[-82.3182178, 40.8686675]"
5411,12,New this week,THE IMMORTALISTS,Chloe Benjamin,Putnam,Four adolescents learn the dates of their deaths from a psychic.,2018-01-28,Chloe Benjamin,,,,,,,2018,,,,
5412,13,26 weeks on the list,THE HANDMAID'S TALE,Margaret Atwood,Houghton Mifflin Harcourt,Men and women in a dystopian future. The basis of the Hulu series; originally published in 1985.,2018-01-28,Margaret Atwood,,THE HANDMAID'S TALE,"The Handmaid’s Tale (The Handmaid's Tale, #1)",https://www.goodreads.com/author/show/3472.Margaret_Atwood?from_search=true&from_srp=true,4.13,1972686.0,2018,"Ottawa, Ontario, Canada","Ottawa, Ontario, Canada",Point,"[-75.69719309999999, 45.4215296]"
5413,14,7 weeks on the list,DARKER,E.L. James,Vintage,Christian Grey's tormented and difficult pursuit of Anastasia Steele is told from his perspective.,2018-01-28,E.L. James,,DARKER,"Fifty Shades Darker (Fifty Shades, #2)",https://www.goodreads.com/author/show/4725841.E_L_James?from_search=true&from_srp=true,3.83,883944.0,2018,"London, The United Kingdom","London, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
5414,15,New this week,OPERATOR DOWN,Brad Taylor,Dutton,Pike Logan's team uncovers a plot to bring down a country in Africa when they track an American arms dealer.,2018-01-28,Brad Taylor,,OPERATOR DOWN,Operator Down (Pike Logan #12),https://www.goodreads.com/author/show/1279042.Brad_Taylor?from_search=true&from_srp=true,4.31,4461.0,2018,,,,
5415,1,New this week,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,Grand Central,A New York City detective and an F.B.I. special agent track down a killer who decapitates numerous victims.,2018-02-04,Douglas Preston,Lincoln Child,CITY OF ENDLESS NIGHT,"City of Endless Night (Pendergast, #17)",https://www.goodreads.com/author/show/12577.Douglas_Preston?from_search=true&from_srp=true,4.07,19610.0,2018,"Cambridge, Massachusetts, The United States","Cambridge, Massachusetts, The United States",Point,"[-71.10973349999999, 42.3736158]"
5416,2,3 weeks on the list,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,A recluse who drinks heavily and takes prescription drugs may have witnessed a crime across from her Harlem townhouse.,2018-02-04,A.J. Finn,,THE WOMAN IN THE WINDOW,The Woman in the Window,https://www.goodreads.com/author/show/7992137.A_J_Finn?from_search=true&from_srp=true,3.95,748640.0,2018,,,,
5417,3,New this week,IRON GOLD,Pierce Brown,Del Rey,The fourth book of the Red Rising Saga. A hero of the revolution finds his fate tied up with others as the war continues.,2018-02-04,Pierce Brown,,IRON GOLD,"Iron Gold (Red Rising Saga, #4)",https://www.goodreads.com/author/show/6474348.Pierce_Brown?from_search=true&from_srp=true,4.24,81235.0,2018,,,,
5418,4,13 weeks on the list,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,An artist upends a quiet town outside Cleveland.,2018-02-04,Celeste Ng,,LITTLE FIRES EVERYWHERE,Little Fires Everywhere,https://www.goodreads.com/author/show/164692.Celeste_Ng?from_search=true&from_srp=true,4.08,1133137.0,2018,The United States,The United States,Point,"[-95.712891, 37.09024]"
5419,5,16 weeks on the list,ORIGIN,Dan Brown,Doubleday,A symbology professor goes on a perilous quest with a beautiful museum director.,2018-02-04,Dan Brown,,ORIGIN,"Origin (Robert Langdon, #5)",https://www.goodreads.com/author/show/630.Dan_Brown?from_search=true&from_srp=true,3.89,321016.0,2018,"Exeter, New Hampshire, The United States","Exeter, New Hampshire, The United States",Point,"[-70.9477546, 42.9814292]"
5420,6,2 weeks on the list,THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,"The events surrounding a hedge fund manager, his ex-wife and his fiancée are told from several points of view.",2018-02-04,Greer Hendricks,Sarah Pekkanen,THE WIFE BETWEEN US,The Wife Between Us,https://www.goodreads.com/author/show/16935182.Greer_Hendricks?from_search=true&from_srp=true,3.85,373194.0,2018,,,,
5421,7,17 weeks on the list,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,2018-02-04,Lisa Wingate,,BEFORE WE WERE YOURS,Before We Were Yours,https://www.goodreads.com/author/show/178832.Lisa_Wingate?from_search=true&from_srp=true,4.4,577881.0,2018,,,,
5422,8,New this week,"SEX, NOT LOVE",Vi Keeland,Vi Keeland,An affair begins at another couple's wedding.,2018-02-04,Vi Keeland,,"SEX, NOT LOVE","Sex, Not Love",https://www.goodreads.com/author/show/6887119.Vi_Keeland?from_search=true&from_srp=true,4.18,29720.0,2018,"New York, New York, The United States","New York, New York, The United States",Point,"[-74.0059728, 40.7127753]"
