,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
2640,1,2 weeks on the list,INVISIBLE,James Patterson and David Ellis,"Little, Brown","Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of unsolved cases.",2014-07-20,James Patterson,David Ellis,,,,,,2014,,,,
2641,2,3 weeks on the list,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,2014-07-20,Janet Evanovich,,TOP SECRET TWENTY-ONE,"Top Secret Twenty-One (Stephanie Plum, #21)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.89,60353.0,2014,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
2642,3,3 weeks on the list,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown","The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J. K. Rowling, writing pseudonymously.",2014-07-20,Robert Galbraith,,THE SILKWORM,"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/author/show/383606.Robert_Galbraith?from_search=true&from_srp=true,4.05,262511.0,2014,"Yate, The United Kingdom","Yate, The United Kingdom",Point,"[-2.414323, 51.54158899999999]"
2643,4,New this week,BEAUTIFUL OBLIVION,Jamie McGuire,Atria,"Just when Trenton Maddox thinks his life is returning to normal, he sets eyes on Cami Camlin; a Maddox Brothers novel.",2014-07-20,Jamie McGuire,,BEAUTIFUL OBLIVION,"Beautiful Oblivion (The Maddox Brothers, #1)",https://www.goodreads.com/author/show/4464118.Jamie_McGuire?from_search=true&from_srp=true,4.08,77969.0,2014,"Tulsa, Oklahoma, The United States","Tulsa, Oklahoma, The United States",Point,"[-95.99277500000001, 36.1539816]"
2644,5,New this week,THE CITY,Dean Koontz,Bantam,"A musician, part of a famous family, looks back over the events of his life, beginning during his childhood in the 1960s.",2014-07-20,Dean Koontz,,,,,,,2014,,,,
2645,6,37 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-07-20,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2646,7,New this week,THE NEIGHBOR,Dean Koontz,Bantam,"In 1967, a secretive new neighbor takes up residence next door to a young brother and sister in a troubled family; an e-book short-story prequel to ""The City.""",2014-07-20,Dean Koontz,,,,,,,2014,,,,
2647,8,84 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-07-20,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2648,9,New this week,SPICE BOX,"Raine Miller, Cathryn Fox and others",Various publishers,A collection of 16 steamy stories.,2014-07-20,"Raine Miller, Cathryn Fox",others,,,,,,2014,,,,
2649,10,5 weeks on the list,MR. MERCEDES,Stephen King,Scribner,"A driver plows into a crowd at a job fair, killing eight. The killer then taunts a suicidal ex-cop, who must stop a deadlier attack.",2014-07-20,Stephen King,,MR. MERCEDES,"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,4.01,308050.0,2014,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
2650,11,3 weeks on the list,ALL FALL DOWN,Jennifer Weiner,Atria,A woman becomes addicted to pain medication.,2014-07-20,Jennifer Weiner,,ALL FALL DOWN,All Fall Down,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.64,48207.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2651,12,New this week,THE ESCAPE,Mary Balogh,Dell,"After the Napoleonic wars, a hopeful widow and a resilient war hero discover the promise of love’s magic and new beginnings.",2014-07-20,Mary Balogh,,,,,,,2014,,,,
2652,13,New this week,ONE PLUS ONE,Jojo Moyes,Pamela Dorman/Viking,An obnoxious tech millionaire comes to the rescue of a single mom and her kids heading for a math contest.,2014-07-20,Jojo Moyes,,ONE PLUS ONE,One Plus One,https://www.goodreads.com/author/show/281810.Jojo_Moyes?from_search=true&from_srp=true,3.96,171632.0,2014,"London, England, The United Kingdom","London, England, The United Kingdom",Point,"[-0.1275862, 51.5072178]"
2653,14,24 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-07-20,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2654,15,4 weeks on the list,WRITTEN IN MY OWN HEART'S BLOOD,Diana Gabaldon,Delacorte,"In the eighth Outlander time-traveling romance, Jamie Fraser and his family face challenges in the 18th and 20th centuries.",2014-07-20,Diana Gabaldon,,WRITTEN IN MY OWN HEART'S BLOOD,"Written in My Own Heart's Blood (Outlander, #8)",https://www.goodreads.com/author/show/3617.Diana_Gabaldon?from_search=true&from_srp=true,4.55,123784.0,2014,"Williams, Arizona, The United States","Williams, Arizona, The United States",Point,"[-112.1910031, 35.24945659999999]"
2655,1,New this week,ACT OF WAR,Brad Thor,Emily Bestler/Atria,The counterterrorism operative Scot Harvath undertakes two dangerous missions as America faces an imminent attack.,2014-07-27,Brad Thor,,ACT OF WAR,"Act of War (Scot Harvath, #13)",https://www.goodreads.com/author/show/5088.Brad_Thor?from_search=true&from_srp=true,4.18,16145.0,2014,,,,
2656,2,New this week,POWER PLAY,Catherine Coulter,Putnam,The F.B.I. agents Dillon Savich and Lacey Sherlock are out to discover who is trying to kill the ambassador to Britain.,2014-07-27,Catherine Coulter,,POWER PLAY,"Power Play (FBI Thriller, #18)",https://www.goodreads.com/author/show/1239.Catherine_Coulter?from_search=true&from_srp=true,4.17,8610.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2657,3,85 weeks on the list,GONE GIRL,Gillian Flynn,Crown,A woman disappears on the day of her fifth anniversary; is her husband a killer?,2014-07-27,Gillian Flynn,,GONE GIRL,Gone Girl,https://www.goodreads.com/author/show/2383.Gillian_Flynn?from_search=true&from_srp=true,4.13,2983396.0,2014,"Kansas City, MO, The United States","Kansas City, MO, The United States",Point,"[-94.5785667, 39.0997265]"
2658,4,3 weeks on the list,INVISIBLE,James Patterson and David Ellis,"Little, Brown","Searching for her sister’s killer, a former F.B.I. researcher finds a link between scores of unsolved cases.",2014-07-27,James Patterson,David Ellis,,,,,,2014,,,,
2659,5,4 weeks on the list,TOP SECRET TWENTY-ONE,Janet Evanovich,Bantam,The New Jersey bounty hunter Stephanie Plum pursues a dealer who sells more than used cars.,2014-07-27,Janet Evanovich,,TOP SECRET TWENTY-ONE,"Top Secret Twenty-One (Stephanie Plum, #21)",https://www.goodreads.com/author/show/2384.Janet_Evanovich?from_search=true&from_srp=true,3.89,60353.0,2014,"South River, New Jersey, The United States","South River, New Jersey, The United States",Point,"[-74.38598309999999, 40.446495]"
2660,6,38 weeks on the list,THE GOLDFINCH,Donna Tartt,"Little, Brown","A painting smuggled out of the Metropolitan Museum of Art after a bombing becomes a boy’s prize, guilt and burden.",2014-07-27,Donna Tartt,,THE GOLDFINCH,The Goldfinch,https://www.goodreads.com/author/show/8719.Donna_Tartt?from_search=true&from_srp=true,3.94,900815.0,2014,"Greenwood, Mississippi, The United States","Greenwood, Mississippi, The United States",Point,"[-90.1795281, 33.5162315]"
2661,7,4 weeks on the list,THE SILKWORM,Robert Galbraith,"Mulholland/Little, Brown","The private detective Cormoran Strike steps in when the author of a roman à clef set in literary London is murdered; by J. K. Rowling, writing pseudonymously.",2014-07-27,Robert Galbraith,,THE SILKWORM,"The Silkworm (Cormoran Strike, #2)",https://www.goodreads.com/author/show/383606.Robert_Galbraith?from_search=true&from_srp=true,4.05,262511.0,2014,"Yate, The United Kingdom","Yate, The United Kingdom",Point,"[-2.414323, 51.54158899999999]"
2662,8,New this week,HUDSON,Laurelin Paige,Laurelin Paige,"A companion novel to the Fixed trilogy, from Hudson’s point of view.",2014-07-27,Laurelin Paige,,HUDSON,"Hudson (Fixed, #4)",https://www.goodreads.com/author/show/7056140.Laurelin_Paige?from_search=true&from_srp=true,4.23,17811.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2663,9,New this week,THE GIRLS OF AUGUST,Anne Rivers Siddons,Grand Central,Four friends who vacation together are shaken by surprising discoveries.,2014-07-27,Anne Rivers Siddons,,THE GIRLS OF AUGUST,The Girls of August,https://www.goodreads.com/author/show/6946.Anne_Rivers_Siddons?from_search=true&from_srp=true,3.15,11326.0,2014,"Atlanta, Georgia, The United States","Atlanta, Georgia, The United States",Point,"[-84.38768449999999, 33.748752]"
2664,10,25 weeks on the list,ORPHAN TRAIN,Christina Baker Kline,Morrow/HarperCollins,A historical novel about orphans swept off the streets of New York and sent to the Midwest in the 1920s.,2014-07-27,Christina Baker Kline,,ORPHAN TRAIN,Orphan Train,https://www.goodreads.com/author/show/157146.Christina_Baker_Kline?from_search=true&from_srp=true,4.19,435287.0,2014,"Cambridge, The United Kingdom","Cambridge, The United Kingdom",Point,"[0.1312729, 52.1950788]"
2665,11,6 weeks on the list,MR. MERCEDES,Stephen King,Scribner,"A driver plows into a crowd at a job fair, killing eight. The killer then taunts a suicidal ex-cop, who must stop a deadlier attack.",2014-07-27,Stephen King,,MR. MERCEDES,"Mr. Mercedes (Bill Hodges Trilogy, #1)",https://www.goodreads.com/author/show/3389.Stephen_King?from_search=true&from_srp=true,4.01,308050.0,2014,"Portland, Maine, The United States","Portland, Maine, The United States",Point,"[-70.2568189, 43.6590993]"
2666,12,4 weeks on the list,ALL FALL DOWN,Jennifer Weiner,Atria,A woman becomes addicted to pain medication.,2014-07-27,Jennifer Weiner,,ALL FALL DOWN,All Fall Down,https://www.goodreads.com/author/show/9212.Jennifer_Weiner?from_search=true&from_srp=true,3.64,48207.0,2014,The United States,The United States,Point,"[-95.712891, 37.09024]"
2667,13,New this week,WHERE I BELONG,J. Daniels,J. Daniels,"A woman returns to Alabama for a summer of fun, but one man keeps her on edge; the first book of a new series.",2014-07-27,J. Daniels,,,,,,,2014,,,,
2668,14,New this week,THE PROMISE,Kristen Ashley,Kristen Ashley,"Francesca Concetti thinks she is done with Benny Bianchi and his family, but Benny has decided differently; Book 5 of the ’Burg series.",2014-07-27,Kristen Ashley,,,,,,,2014,,,,
